Filter Size,Regularization,Batch Size,Test Accuracy,Execution Time (sec),Accuracy Plot,Loss Plot,Confusion Matrix
"(3, 3)",,128,0.9127,2010.56,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/accuracy_curves/accuracy_plot_Filter_size_3X3_Reg_None_Batch_128.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/loss_curves/loss_plot_Filter_size_3X3_Reg_None_Batch_128.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/confusion_matrices/confusion_matrix_Filter_size_3X3_Reg_None_Batch_128.png
"(3, 3)",,256,0.9266,1022.04,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/accuracy_curves/accuracy_plot_Filter_size_3X3_Reg_None_Batch_256.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/loss_curves/loss_plot_Filter_size_3X3_Reg_None_Batch_256.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/confusion_matrices/confusion_matrix_Filter_size_3X3_Reg_None_Batch_256.png
"(3, 3)",0.01,128,0.8798,2123.74,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/accuracy_curves/accuracy_plot_Filter_size_3X3_Reg_0.01_Batch_128.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/loss_curves/loss_plot_Filter_size_3X3_Reg_0.01_Batch_128.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/confusion_matrices/confusion_matrix_Filter_size_3X3_Reg_0.01_Batch_128.png
"(3, 3)",0.01,256,0.8715,1079.24,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/accuracy_curves/accuracy_plot_Filter_size_3X3_Reg_0.01_Batch_256.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/loss_curves/loss_plot_Filter_size_3X3_Reg_0.01_Batch_256.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/confusion_matrices/confusion_matrix_Filter_size_3X3_Reg_0.01_Batch_256.png
"(5, 5)",,128,0.9263,2075.83,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/accuracy_curves/accuracy_plot_Filter_size_5X5_Reg_None_Batch_128.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/loss_curves/loss_plot_Filter_size_5X5_Reg_None_Batch_128.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/confusion_matrices/confusion_matrix_Filter_size_5X5_Reg_None_Batch_128.png
"(5, 5)",,256,0.9326,1047.53,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/accuracy_curves/accuracy_plot_Filter_size_5X5_Reg_None_Batch_256.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/loss_curves/loss_plot_Filter_size_5X5_Reg_None_Batch_256.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/confusion_matrices/confusion_matrix_Filter_size_5X5_Reg_None_Batch_256.png
"(5, 5)",0.01,128,0.8727,2190.33,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/accuracy_curves/accuracy_plot_Filter_size_5X5_Reg_0.01_Batch_128.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/loss_curves/loss_plot_Filter_size_5X5_Reg_0.01_Batch_128.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/confusion_matrices/confusion_matrix_Filter_size_5X5_Reg_0.01_Batch_128.png
"(5, 5)",0.01,256,0.8858,1115.96,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/accuracy_curves/accuracy_plot_Filter_size_5X5_Reg_0.01_Batch_256.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/loss_curves/loss_plot_Filter_size_5X5_Reg_0.01_Batch_256.png,/content/drive/MyDrive/MBM_NN_LAB_6TH_SEM/EXP_5_trial/confusion_matrices/confusion_matrix_Filter_size_5X5_Reg_0.01_Batch_256.png
